															0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F	EOC!
GPIO	PAD_GPIO_24	NO	YES		65	YES	F	"0: nf_tmx_cle,<O>,<HS>
1: TP0_Data_bit5,<I>,<HS>
3: TCON_bit5,<O>
B: I2S_in_SCLK_SRC0,<I>
D: misc_pwm_4_out,<O>
E: test_extend_bit4,<I/O>
F: MIS_GPIO_bit24,<I/O>
def: MIS_GPIO_bit24,<I/O>"	0x1800_0818[31:28]	B: 0xb800_08C4[31] = 0x0		"IO_Set:         0x1801BC00[24]
GPO_Set:      0x1801BC14[24]
GPI_Read:    0x1801BC28[24]"	"Duty_Set:  0x1801BCBC = 0x00320063  
Div_Set:    0x1801BCB8 = 0x800030A8  
EN_Set:     0x1801BCB4 = 0x60000000"	"MIS_GPIO_bit24,<I/O>"	"nf_tmx_cle,<O>,<HS>"	"TP0_Data_bit5,<I>,<HS>"	X	"TCON_bit5,<O>"	X	X	X	X	X	X	X	"I2S_in_SCLK_SRC0,<I>"	X	"misc_pwm_4_out,<O>"	"test_extend_bit4,<I/O>"	"MIS_GPIO_bit24,<I/O>"	EOC!
GPIO	PAD_GPIO_25	NO	YES		66	YES	F	"0: nf_tmx_wr_n,<O>,<HS>
1: TP0_Data_bit4,<I>,<HS>
3: TCON_bit6,<O>
6: ETN_LED0,<O>
8: uart1_rxdi_src0,<I>
9: uart3_rxdi_src1,<I>
A: USB_PWR_FLAG0_SRC1,<I>
B: I2S_in_WCLK_SRC0,<I>
E: test_extend_bit5,<I/O>
F: MIS_GPIO_bit25,<I/O>
def: MIS_GPIO_bit25,<I/O>"	0x1800_0818[23:20]	"5: 0xb800_08C0[9:6] = 0x2
8: 0xb800_08C0[3:2] = 0x0
9: 0xb800_08C0[5:4] = 0x1
A: 0xb800_08C4[23:22] = 0x1
B: 0xb800_08C4[31] = 0x0"		"IO_Set:         0x1801BC00[25]
GPO_Set:      0x1801BC14[25]
GPI_Read:    0x1801BC28[25]"		"MIS_GPIO_bit25,<I/O>"	"nf_tmx_wr_n,<O>,<HS>"	"TP0_Data_bit4,<I>,<HS>"	X	"TCON_bit6,<O>"	X	X	"ETN_LED0,<O>"	X	"uart1_rxdi_src0,<I>"	"uart3_rxdi_src1,<I>"	"USB_PWR_FLAG0_SRC1,<I>"	"I2S_in_WCLK_SRC0,<I>"	X	X	"test_extend_bit5,<I/O>"	"MIS_GPIO_bit25,<I/O>"	EOC!
GPIO	PAD_GPIO_26	NO	YES		67	YES	F	"0: nf_tmx_ale,<O>,<HS>
1: TP0_Data_bit3,<I>,<HS>
3: TCON_bit7,<O>
6: ETN_LED1,<O>
8: uart1_txdo,<O>
9: uart3_txdo,<O>
A: USB_PWR_FLAG1_SRC1,<I>
B: I2S_in_MCLK_SRC0,<I>
D: misc_pwm_5_out,<O>
E: test_extend_bit6,<I/O>
F: MIS_GPIO_bit26,<I/O>
def: MIS_GPIO_bit26,<I/O>"	0x1800_0818[15:12]	"5: 0xb800_08C0[9:6] = 0x2
9: 0xb800_08C0[5:4] = 0x1
A: 0xb800_08C4[21:20] = 0x1
B: 0xb800_08C4[31] = 0x0"		"IO_Set:         0x1801BC00[26]
GPO_Set:      0x1801BC14[26]
GPI_Read:    0x1801BC28[26]"	"Duty_Set:  0x1801BCC8 = 0x00320063  
Div_Set:    0x1801BCC4 = 0x800030A8  
EN_Set:     0x1801BCC0 = 0x60000000"	"MIS_GPIO_bit26,<I/O>"	"nf_tmx_ale,<O>,<HS>"	"TP0_Data_bit3,<I>,<HS>"	X	"TCON_bit7,<O>"	X	X	"ETN_LED1,<O>"	X	"uart1_txdo,<O>"	"uart3_txdo,<O>"	"USB_PWR_FLAG1_SRC1,<I>"	"I2S_in_MCLK_SRC0,<I>"	X	"misc_pwm_5_out,<O>"	"test_extend_bit6,<I/O>"	"MIS_GPIO_bit26,<I/O>"	EOC!
GPIO	PAD_GPIO_27	NO	YES		75	YES	F	"0: nf_tmx_bit0,<I/O>,<HS>
1: PCMCIA_bit0,<I/O>,<HS>
E: test_extend_bit7,<I/O>
F: MIS_GPIO_bit27,<I/O>
def: MIS_GPIO_bit27,<I/O>"	0x1800_0818[7:4]			"IO_Set:         0x1801BC00[27]
GPO_Set:      0x1801BC14[27]
GPI_Read:    0x1801BC28[27]"		"MIS_GPIO_bit27,<I/O>"	"nf_tmx_bit0,<I/O>,<HS>"	"PCMCIA_bit0,<I/O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	X	"test_extend_bit7,<I/O>"	"MIS_GPIO_bit27,<I/O>"	EOC!
GPIO	PAD_GPIO_28	NO	YES		77	YES	F	"0: nf_tmx_bit1,<I/O>,<HS>
1: PCMCIA_bit1,<I/O>,<HS>
D: misc_pwm_6_out,<O>
E: test_extend_bit8,<I/O>
F: MIS_GPIO_bit28,<I/O>
def: MIS_GPIO_bit28,<I/O>"	0x1800_081C[31:28]			"IO_Set:         0x1801BC00[28]
GPO_Set:      0x1801BC14[28]
GPI_Read:    0x1801BC28[28]"	"Duty_Set:  0x1801BCD4 = 0x00320063  
Div_Set:    0x1801BCD0 = 0x800030A8  
EN_Set:     0x1801BCCC = 0x60000000"	"MIS_GPIO_bit28,<I/O>"	"nf_tmx_bit1,<I/O>,<HS>"	"PCMCIA_bit1,<I/O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_6_out,<O>"	"test_extend_bit8,<I/O>"	"MIS_GPIO_bit28,<I/O>"	EOC!
GPIO	PAD_GPIO_29	NO	YES		78	YES	F	"0: nf_tmx_bit2,<I/O>,<HS>
1: PCMCIA_bit2,<I/O>,<HS>
E: test_extend_bit9,<I/O>
F: MIS_GPIO_bit29,<I/O>
def: MIS_GPIO_bit29,<I/O>"	0x1800_081C[23:20]			"IO_Set:         0x1801BC00[29]
GPO_Set:      0x1801BC14[29]
GPI_Read:    0x1801BC28[29]"		"MIS_GPIO_bit29,<I/O>"	"nf_tmx_bit2,<I/O>,<HS>"	"PCMCIA_bit2,<I/O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	X	"test_extend_bit9,<I/O>"	"MIS_GPIO_bit29,<I/O>"	EOC!
GPIO	PAD_GPIO_30	NO	YES		79	YES	F	"0: nf_tmx_bit3,<I/O>,<HS>
1: PCMCIA_bit3,<I/O>,<HS>
D: misc_pwm_7_out,<O>
E: test_extend_bit10,<I/O>
F: MIS_GPIO_bit30,<I/O>
def: MIS_GPIO_bit30,<I/O>"	0x1800_081C[15:12]			"IO_Set:         0x1801BC00[30]
GPO_Set:      0x1801BC14[30]
GPI_Read:    0x1801BC28[30]"	"Duty_Set:  0x1801BCE0 = 0x00320063  
Div_Set:    0x1801BCDC = 0x800030A8  
EN_Set:     0x1801BCD8 = 0x60000000 "	"MIS_GPIO_bit30,<I/O>"	"nf_tmx_bit3,<I/O>,<HS>"	"PCMCIA_bit3,<I/O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_7_out,<O>"	"test_extend_bit10,<I/O>"	"MIS_GPIO_bit30,<I/O>"	EOC!
GPIO	PAD_GPIO_31	NO	YES		80	YES	F	"0: nf_tmx_bit4,<I/O>,<HS>
1: PCMCIA_bit4,<I/O>,<HS>
E: test_extend_bit11,<I/O>
F: MIS_GPIO_bit31,<I/O>
def: MIS_GPIO_bit31,<I/O>"	0x1800_081C[7:4]			"IO_Set:         0x1801BC00[31]
GPO_Set:      0x1801BC14[31]
GPI_Read:    0x1801BC28[31]"		"MIS_GPIO_bit31,<I/O>"	"nf_tmx_bit4,<I/O>,<HS>"	"PCMCIA_bit4,<I/O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	X	"test_extend_bit11,<I/O>"	"MIS_GPIO_bit31,<I/O>"	EOC!
GPIO	PAD_GPIO_32	NO	YES		82	YES	F	"0: nf_tmx_bit5,<I/O>,<HS>
1: PCMCIA_bit5,<I/O>,<HS>
E: test_extend_bit12,<I/O>
F: MIS_GPIO_bit32,<I/O>
def: MIS_GPIO_bit32,<I/O>"	0x1800_0820[31:28]			"IO_Set:         0x1801BC04[0]  
GPO_Set:      0x1801BC18[0]  
GPI_Read:    0x1801BC2C[0] "		"MIS_GPIO_bit32,<I/O>"	"nf_tmx_bit5,<I/O>,<HS>"	"PCMCIA_bit5,<I/O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	X	"test_extend_bit12,<I/O>"	"MIS_GPIO_bit32,<I/O>"	EOC!
GPIO	PAD_GPIO_33	NO	YES		84	YES	F	"0: nf_tmx_bit6,<I/O>,<HS>
1: PCMCIA_bit6,<I/O>,<HS>
E: test_extend_bit13,<I/O>
F: MIS_GPIO_bit33,<I/O>
def: MIS_GPIO_bit33,<I/O>"	0x1800_0820[31:28]			"IO_Set:         0x1801BC04[1]  
GPO_Set:      0x1801BC18[1]  
GPI_Read:    0x1801BC2C[1] "		"MIS_GPIO_bit33,<I/O>"	"nf_tmx_bit6,<I/O>,<HS>"	"PCMCIA_bit6,<I/O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	X	"test_extend_bit13,<I/O>"	"MIS_GPIO_bit33,<I/O>"	EOC!
GPIO	PAD_GPIO_34	NO	YES		85	YES	F	"0: nf_tmx_bit7,<I/O>,<HS>
1: PCMCIA_bit7,<I/O>,<HS>
D: misc_pwm_0_out,<O>
F: MIS_GPIO_bit34,<I/O>
def: MIS_GPIO_bit34,<I/O>"	0x1800_0820[15:12]			"IO_Set:         0x1801BC04[2]  
GPO_Set:      0x1801BC18[2]  
GPI_Read:    0x1801BC2C[2] "	"Duty_Set:  0x1801BC8C = 0x00320063  
Div_Set:    0x1801BC88 = 0x800030A8  
EN_Set:     0x1801BC84 = 0x60000000"	"MIS_GPIO_bit34,<I/O>"	"nf_tmx_bit7,<I/O>,<HS>"	"PCMCIA_bit7,<I/O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_0_out,<O>"	X	"MIS_GPIO_bit34,<I/O>"	EOC!
GPIO	PAD_GPIO_35	NO	YES		86	YES	F	"0: nf_tmx_rd_n,<O>,<HS>
D: misc_pwm_1_out,<O>
F: MIS_GPIO_bit35,<I/O>
def: MIS_GPIO_bit35,<I/O>"	0x1800_0820[7:4]			"IO_Set:         0x1801BC04[3]  
GPO_Set:      0x1801BC18[3]  
GPI_Read:    0x1801BC2C[3] "	"Duty_Set:  0x1801BC98 = 0x00320063  
Div_Set:    0x1801BC94 = 0x800030A8  
EN_Set:     0x1801BC90 = 0x60000000"	"MIS_GPIO_bit35,<I/O>"	"nf_tmx_rd_n,<O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_1_out,<O>"	X	"MIS_GPIO_bit35,<I/O>"	EOC!
GPIO	PAD_GPIO_36	NO	YES		87	YES	F	"0: nf_tmx_ce_n_bit1,<O>,<HS>
F: MIS_GPIO_bit36,<I/O>
def: MIS_GPIO_bit36,<I/O>"	0x1800_0824[31:28]			"IO_Set:         0x1801BC04[4]  
GPO_Set:      0x1801BC18[4]  
GPI_Read:    0x1801BC2C[4] "		"MIS_GPIO_bit36,<I/O>"	"nf_tmx_ce_n_bit1,<O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	X	X	X	"MIS_GPIO_bit36,<I/O>"	EOC!
GPIO	PAD_GPIO_37	NO	YES		88	YES	F	"0: nf_tmx_ce_n_bit0,<O>,<HS>
D: misc_pwm_2_out,<O>
F: MIS_GPIO_bit37,<I/O>
def: MIS_GPIO_bit37,<I/O>"	0x1800_0824[23:20]			"IO_Set:         0x1801BC04[5]  
GPO_Set:      0x1801BC18[5]  
GPI_Read:    0x1801BC2C[5] "	"Duty_Set:  0x1801BCA4 = 0x00320063  
Div_Set:    0x1801BCA0 = 0x800030A8  
EN_Set:     0x1801BC9C = 0x60000000"	"MIS_GPIO_bit37,<I/O>"	"nf_tmx_ce_n_bit0,<O>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_2_out,<O>"	X	"MIS_GPIO_bit37,<I/O>"	EOC!
GPIO	PAD_GPIO_38	NO	YES		89	YES	F	"0: tmx_nf_rdy,<I>,<HS>
D: misc_pwm_3_out,<O>
F: MIS_GPIO_bit38,<I/O>
def: MIS_GPIO_bit38,<I/O>"	0x1800_0824[15:12]			"IO_Set:         0x1801BC04[6]  
GPO_Set:      0x1801BC18[6]  
GPI_Read:    0x1801BC2C[6] "	"Duty_Set:  0x1801BCB0 = 0x00320063  
Div_Set:    0x1801BCAC = 0x800030A8  
EN_Set:     0x1801BCA8 = 0x60000000"	"MIS_GPIO_bit38,<I/O>"	"tmx_nf_rdy,<I>,<HS>"	X	X	X	X	X	X	X	X	X	X	X	X	"misc_pwm_3_out,<O>"	X	"MIS_GPIO_bit38,<I/O>"	EOC!
LVDS	LVDSA_FP_APAD	NO	X		96	YES	F	"0: LVDSA_FP,<AO>,<HS>
2: TTL_denout,<O>,<HS>
3: TCON_bit8,<O>
8: uart1_rxdi_src1,<I>
9: SPDIF_OUT,<O>
B: I2S_out_Data0,<O>
D: misc_pwm_4_out,<O>
E: test_extend_bit14,<I/O>
F: MIS_GPIO_bit39,<I/O>
def: MIS_GPIO_bit39,<I/O>"	0x1800_0890[31:28]	8: 0xb800_08C0[3:2] = 0x1		"IO_Set:         0x1801BC04[7]  
GPO_Set:      0x1801BC18[7]  
GPI_Read:    0x1801BC2C[7] "	"Duty_Set:  0x1801BCBC = 0x00320063  
Div_Set:    0x1801BCB8 = 0x800030A8  
EN_Set:     0x1801BCB4 = 0x60000000"	"MIS_GPIO_bit39,<I/O>"	"LVDSA_FP,<AO>,<HS>"	X	"TTL_denout,<O>,<HS>"	"TCON_bit8,<O>"	X	X	X	X	"uart1_rxdi_src1,<I>"	"SPDIF_OUT,<O>"	X	"I2S_out_Data0,<O>"	X	"misc_pwm_4_out,<O>"	"test_extend_bit14,<I/O>"	"MIS_GPIO_bit39,<I/O>"	EOC!
LVDS	LVDSA_FN_APAD	NO	X		97	YES	F	"0: LVDSA_FN,<AO>,<HS>
2: TTL_vsout,<O>,<HS>
3: TCON_bit9,<O>
8: uart1_txdo,<O>
B: I2S_out_SCLK,<O>
D: misc_pwm_5_out,<O>
F: MIS_GPIO_bit40,<I/O>
def: MIS_GPIO_bit40,<I/O>"	0x1800_0890[23:20]	8: 0xb800_08C0[3:2] = 0x1		"IO_Set:         0x1801BC04[8]  
GPO_Set:      0x1801BC18[8]  
GPI_Read:    0x1801BC2C[8] "	"Duty_Set:  0x1801BCC8 = 0x00320063  
Div_Set:    0x1801BCC4 = 0x800030A8  
EN_Set:     0x1801BCC0 = 0x60000000"	"MIS_GPIO_bit40,<I/O>"	"LVDSA_FN,<AO>,<HS>"	X	"TTL_vsout,<O>,<HS>"	"TCON_bit9,<O>"	X	X	X	X	"uart1_txdo,<O>"	X	X	"I2S_out_SCLK,<O>"	X	"misc_pwm_5_out,<O>"	X	"MIS_GPIO_bit40,<I/O>"	EOC!
LVDS	LVDSA_EP_APAD	NO	X	54	98	YES	F	"0: LVDSA_EP,<AO>,<HS>
2: TTL_bout_bit5,<O>,<HS>
3: TCON_bit10,<O>
6: p_hif_clk_en,<I>,<HS>
E: test_en_bit3,<I/O>
F: MIS_GPIO_bit41,<I/O>
def: MIS_GPIO_bit41,<I/O>"	0x1800_0890[15:12]			"IO_Set:         0x1801BC04[9]  
GPO_Set:      0x1801BC18[9]  
GPI_Read:    0x1801BC2C[9] "		"MIS_GPIO_bit41,<I/O>"	"LVDSA_EP,<AO>,<HS>"	X	"TTL_bout_bit5,<O>,<HS>"	"TCON_bit10,<O>"	X	X	"p_hif_clk_en,<I>,<HS>"	X	X	X	X	X	X	X	"test_en_bit3,<I/O>"	"MIS_GPIO_bit41,<I/O>"	EOC!
LVDS	LVDSA_EN_APAD	NO	X	55	99	YES	F	"0: LVDSA_EN,<AO>,<HS>
2: TTL_bout_bit4,<O>,<HS>
3: TCON_bit11,<O>
6: P_HIF_RDY,<O>
E: test_en_bit4,<I/O>
F: MIS_GPIO_bit42,<I/O>
def: MIS_GPIO_bit42,<I/O>"	0x1800_0890[11:8]			"IO_Set:         0x1801BC04[10]  
GPO_Set:      0x1801BC18[10]  
GPI_Read:    0x1801BC2C[10] "		"MIS_GPIO_bit42,<I/O>"	"LVDSA_EN,<AO>,<HS>"	X	"TTL_bout_bit4,<O>,<HS>"	"TCON_bit11,<O>"	X	X	"P_HIF_RDY,<O>"	X	X	X	X	X	X	X	"test_en_bit4,<I/O>"	"MIS_GPIO_bit42,<I/O>"	EOC!
LVDS	LVDSA_DP_APAD	NO	X	56	100	YES	F	"0: LVDSA_DP,<AO>,<HS>
2: TTL_bout_bit3,<O>,<HS>
3: TCON_bit12,<O>
6: P_HIF_Data_bit0,<I/O>
E: test_en_bit5,<I/O>
F: MIS_GPIO_bit43,<I/O>
def: MIS_GPIO_bit43,<I/O>"	0x1800_0890[7:4]			"IO_Set:         0x1801BC04[11]  
GPO_Set:      0x1801BC18[11]  
GPI_Read:    0x1801BC2C[11] "		"MIS_GPIO_bit43,<I/O>"	"LVDSA_DP,<AO>,<HS>"	X	"TTL_bout_bit3,<O>,<HS>"	"TCON_bit12,<O>"	X	X	"P_HIF_Data_bit0,<I/O>"	X	X	X	X	X	X	X	"test_en_bit5,<I/O>"	"MIS_GPIO_bit43,<I/O>"	EOC!
LVDS	LVDSA_DN_APAD	NO	X	57	101	YES	F	"0: LVDSA_DN,<AO>,<HS>
2: TTL_bout_bit2,<O>,<HS>
3: TCON_bit13,<O>
6: P_HIF_Data_bit1,<I/O>
E: test_en_bit6,<I/O>
F: MIS_GPIO_bit44,<I/O>
def: MIS_GPIO_bit44,<I/O>"	0x1800_0890[3:0]			"IO_Set:         0x1801BC04[12]  
GPO_Set:      0x1801BC18[12]  
GPI_Read:    0x1801BC2C[12] "		"MIS_GPIO_bit44,<I/O>"	"LVDSA_DN,<AO>,<HS>"	X	"TTL_bout_bit2,<O>,<HS>"	"TCON_bit13,<O>"	X	X	"P_HIF_Data_bit1,<I/O>"	X	X	X	X	X	X	X	"test_en_bit6,<I/O>"	"MIS_GPIO_bit44,<I/O>"	EOC!
LVDS	LVDSA_CP_APAD	NO	X	58	102	YES	F	"0: LVDSA_CP,<AO>,<HS>
2: TTL_bout_bit1,<O>,<HS>
3: TCON_bit14,<O>
6: P_HIF_Data_bit2,<I/O>
E: test_en_bit7,<I/O>
F: MIS_GPIO_bit45,<I/O>
def: MIS_GPIO_bit45,<I/O>"	0x1800_0894[31:28]			"IO_Set:         0x1801BC04[13]  
GPO_Set:      0x1801BC18[13]  
GPI_Read:    0x1801BC2C[13] "		"MIS_GPIO_bit45,<I/O>"	"LVDSA_CP,<AO>,<HS>"	X	"TTL_bout_bit1,<O>,<HS>"	"TCON_bit14,<O>"	X	X	"P_HIF_Data_bit2,<I/O>"	X	X	X	X	X	X	X	"test_en_bit7,<I/O>"	"MIS_GPIO_bit45,<I/O>"	EOC!
LVDS	LVDSA_CN_APAD	NO	X	59	103	YES	F	"0: LVDSA_CN,<AO>,<HS>
2: TTL_bout_bit0,<O>,<HS>
3: TCON_bit15,<O>
6: P_HIF_Data_bit3,<I/O>
E: test_en_bit8,<I/O>
F: MIS_GPIO_bit46,<I/O>
def: MIS_GPIO_bit46,<I/O>"	0x1800_0894[27:24]			"IO_Set:         0x1801BC04[14]  
GPO_Set:      0x1801BC18[14]  
GPI_Read:    0x1801BC2C[14] "		"MIS_GPIO_bit46,<I/O>"	"LVDSA_CN,<AO>,<HS>"	X	"TTL_bout_bit0,<O>,<HS>"	"TCON_bit15,<O>"	X	X	"P_HIF_Data_bit3,<I/O>"	X	X	X	X	X	X	X	"test_en_bit8,<I/O>"	"MIS_GPIO_bit46,<I/O>"	EOC!
LVDS	LVDSA_BP_APAD	NO	X	60	104	YES	F	"0: LVDSA_BP,<AO>,<HS>
2: TTL_gout_bit5,<O>,<HS>
3: TCON_bit16,<O>
6: P_HIF_Data_bit4,<I/O>
E: test_en_bit9,<I/O>
F: MIS_GPIO_bit47,<I/O>
def: MIS_GPIO_bit47,<I/O>"	0x1800_0894[23:20]			"IO_Set:         0x1801BC04[15]  
GPO_Set:      0x1801BC18[15]  
GPI_Read:    0x1801BC2C[15] "		"MIS_GPIO_bit47,<I/O>"	"LVDSA_BP,<AO>,<HS>"	X	"TTL_gout_bit5,<O>,<HS>"	"TCON_bit16,<O>"	X	X	"P_HIF_Data_bit4,<I/O>"	X	X	X	X	X	X	X	"test_en_bit9,<I/O>"	"MIS_GPIO_bit47,<I/O>"	EOC!
LVDS	LVDSA_BN_APAD	NO	X	61	105	YES	F	"0: LVDSA_BN,<AO>,<HS>
2: TTL_gout_bit4,<O>,<HS>
3: TCON_bit17,<O>
6: P_HIF_Data_bit5,<I/O>
E: test_en_bit10,<I/O>
F: MIS_GPIO_bit48,<I/O>
def: MIS_GPIO_bit48,<I/O>"	0x1800_0894[19:16]			"IO_Set:         0x1801BC04[16]  
GPO_Set:      0x1801BC18[16]  
GPI_Read:    0x1801BC2C[16] "		"MIS_GPIO_bit48,<I/O>"	"LVDSA_BN,<AO>,<HS>"	X	"TTL_gout_bit4,<O>,<HS>"	"TCON_bit17,<O>"	X	X	"P_HIF_Data_bit5,<I/O>"	X	X	X	X	X	X	X	"test_en_bit10,<I/O>"	"MIS_GPIO_bit48,<I/O>"	EOC!
LVDS	LVDSA_AP_APAD	NO	X	62	106	YES	F	"0: LVDSA_AP,<AO>,<HS>
2: TTL_gout_bit3,<O>,<HS>
3: TCON_bit18,<O>
6: P_HIF_Data_bit6,<I/O>
E: test_en_bit11,<I/O>
F: MIS_GPIO_bit49,<I/O>
def: MIS_GPIO_bit49,<I/O>"	0x1800_0894[15:12]			"IO_Set:         0x1801BC04[17]  
GPO_Set:      0x1801BC18[17]  
GPI_Read:    0x1801BC2C[17] "		"MIS_GPIO_bit49,<I/O>"	"LVDSA_AP,<AO>,<HS>"	X	"TTL_gout_bit3,<O>,<HS>"	"TCON_bit18,<O>"	X	X	"P_HIF_Data_bit6,<I/O>"	X	X	X	X	X	X	X	"test_en_bit11,<I/O>"	"MIS_GPIO_bit49,<I/O>"	EOC!
LVDS	LVDSA_AN_APAD	NO	X	63	107	YES	F	"0: LVDSA_AN,<AO>,<HS>
2: TTL_gout_bit2,<O>,<HS>
3: TCON_bit19,<O>
6: P_HIF_Data_bit7,<I/O>
E: test_en_bit12,<I/O>
F: MIS_GPIO_bit50,<I/O>
def: MIS_GPIO_bit50,<I/O>"	0x1800_0894[11:8]			"IO_Set:         0x1801BC04[18]  
GPO_Set:      0x1801BC18[18]  
GPI_Read:    0x1801BC2C[18] "		"MIS_GPIO_bit50,<I/O>"	"LVDSA_AN,<AO>,<HS>"	X	"TTL_gout_bit2,<O>,<HS>"	"TCON_bit19,<O>"	X	X	"P_HIF_Data_bit7,<I/O>"	X	X	X	X	X	X	X	"test_en_bit12,<I/O>"	"MIS_GPIO_bit50,<I/O>"	EOC!
LVDS	LVDSB_FP_APAD	NO	X		109	YES	F	"0: LVDSB_FP,<AO>,<HS>
2: TTL_hsout,<O>,<HS>
3: TCON_bit0,<O>
5: I2C1_SCL_SRC3,<I/O>
B: I2S_out_WCLK,<O>
D: misc_pwm_6_out,<O>
F: MIS_GPIO_bit51,<I/O>
def: MIS_GPIO_bit51,<I/O>"	0x1800_0898[23:20]	5: 0xb800_08C0[9:6] = 0x3		"IO_Set:         0x1801BC04[19]  
GPO_Set:      0x1801BC18[19]  
GPI_Read:    0x1801BC2C[19] "	"Duty_Set:  0x1801BCD4 = 0x00320063  
Div_Set:    0x1801BCD0 = 0x800030A8  
EN_Set:     0x1801BCCC = 0x60000000"	"MIS_GPIO_bit51,<I/O>"	"LVDSB_FP,<AO>,<HS>"	X	"TTL_hsout,<O>,<HS>"	"TCON_bit0,<O>"	X	"I2C1_SCL_SRC3,<I/O>"	X	X	X	X	X	"I2S_out_WCLK,<O>"	X	"misc_pwm_6_out,<O>"	X	"MIS_GPIO_bit51,<I/O>"	EOC!
LVDS	LVDSB_FN_APAD	NO	X		110	YES	F	"0: LVDSB_FN,<AO>,<HS>
2: TTL_CLK,<O>,<HS>
3: TCON_bit1,<O>
5: I2C1_SDA_SRC3,<I/O>
9: SPDIF_OUT,<O>
B: I2S_out_MCLK,<O>
D: misc_pwm_7_out,<O>
F: MIS_GPIO_bit52,<I/O>
def: MIS_GPIO_bit52,<I/O>"	0x1800_0898[19:16]	5: 0xb800_08C0[9:6] = 0x3		"IO_Set:         0x1801BC04[20]  
GPO_Set:      0x1801BC18[20]  
GPI_Read:    0x1801BC2C[20] "	"Duty_Set:  0x1801BCE0 = 0x00320063  
Div_Set:    0x1801BCDC = 0x800030A8  
EN_Set:     0x1801BCD8 = 0x60000000 "	"MIS_GPIO_bit52,<I/O>"	"LVDSB_FN,<AO>,<HS>"	X	"TTL_CLK,<O>,<HS>"	"TCON_bit1,<O>"	X	"I2C1_SDA_SRC3,<I/O>"	X	X	X	"SPDIF_OUT,<O>"	X	"I2S_out_MCLK,<O>"	X	"misc_pwm_7_out,<O>"	X	"MIS_GPIO_bit52,<I/O>"	EOC!
LVDS	LVDSB_EP_APAD	NO	X	65	111	YES	F	"0: LVDSB_EP,<AO>,<HS>
2: TTL_gout_bit1,<O>,<HS>
3: TCON_bit2,<O>
6: P_HIF_Data_bit8,<I/O>
E: test_en_bit13,<I/O>
F: MIS_GPIO_bit53,<I/O>
def: MIS_GPIO_bit53,<I/O>"	0x1800_0898[15:12]			"IO_Set:         0x1801BC04[21]  
GPO_Set:      0x1801BC18[21]  
GPI_Read:    0x1801BC2C[21] "		"MIS_GPIO_bit53,<I/O>"	"LVDSB_EP,<AO>,<HS>"	X	"TTL_gout_bit1,<O>,<HS>"	"TCON_bit2,<O>"	X	X	"P_HIF_Data_bit8,<I/O>"	X	X	X	X	X	X	X	"test_en_bit13,<I/O>"	"MIS_GPIO_bit53,<I/O>"	EOC!
LVDS	LVDSB_EN_APAD	NO	X	66	112	YES	F	"0: LVDSB_EN,<AO>,<HS>
2: TTL_gout_bit0,<O>,<HS>
3: TCON_bit3,<O>
6: P_HIF_Data_bit9,<I/O>
E: test_en_bit14,<I/O>
F: MIS_GPIO_bit54,<I/O>
def: MIS_GPIO_bit54,<I/O>"	0x1800_0898[11:8]			"IO_Set:         0x1801BC04[22]  
GPO_Set:      0x1801BC18[22]  
GPI_Read:    0x1801BC2C[22] "		"MIS_GPIO_bit54,<I/O>"	"LVDSB_EN,<AO>,<HS>"	X	"TTL_gout_bit0,<O>,<HS>"	"TCON_bit3,<O>"	X	X	"P_HIF_Data_bit9,<I/O>"	X	X	X	X	X	X	X	"test_en_bit14,<I/O>"	"MIS_GPIO_bit54,<I/O>"	EOC!
LVDS	LVDSB_DP_APAD	NO	X		113	YES	F	"0: LVDSB_DP,<AO>,<HS>
3: TCON_bit4,<O>
F: MIS_GPIO_bit55,<I/O>
def: MIS_GPIO_bit55,<I/O>"	0x1800_0898[7:4]			"IO_Set:         0x1801BC04[23]  
GPO_Set:      0x1801BC18[23]  
GPI_Read:    0x1801BC2C[23] "		"MIS_GPIO_bit55,<I/O>"	"LVDSB_DP,<AO>,<HS>"	X	X	"TCON_bit4,<O>"	X	X	X	X	X	X	X	X	X	X	X	"MIS_GPIO_bit55,<I/O>"	EOC!
